"userID","itemID","rating"
10,387,4
11,181,5
11,404,5
11,425,4
12,440,1
13,30,5
13,461,1
14,402,5
14,434,5
1,27,5
4,106,5
4,142,2
4,153,2
4,155,1
4,173,5
5,213,5
5,214,5
6,230,5
7,233,5
7,264,5
8,294,4
8,296,4
8,298,3
8,310,4
9,328,5
9,344,3
10,132,1
10,222,5
14,495,5
14,519,5
15,270,3
15,383,3
15,412,5
15,545,3
15,566,4
16,594,5
17,19,4
18,197,5
18,31,5
19,166,5
20,651,5
21,104,4
23,50,5
29,788,4
30,59,3
31,812,1
31,290,5
32,763,3
32,464,3
34,750,4
34,556,4
35,855,5
35,615,3
36,812,5
36,886,5
36,887,3
37,254,3
39,840,3
39,921,4
39,259,2
39,268,2
39,24,4
40,370,5
40,529,4
41,132,3
41,223,5
41,56,4
42,162,1
42,948,4
43,638,5
45,128,2
45,132,1
45,386,5
46,117,5
46,188,5
46,402,5
47,670,3
47,926,4
47,267,3
47,285,3
49,49,5
50,42,2
51,244,5
52,119,5
52,960,1
52,451,4
53,597,5
54,690,3
54,518,3
55,1017,3
55,476,5
56,715,4
56,168,5
56,353,2
58,185,4
58,229,4
58,559,3
59,272,2
60,911,2
60,499,4
60,546,4
61,392,4
62,237,3
63,1001,5
63,339,4
63,439,5
63,534,4
65,1068,4
65,89,4
66,255,4
66,267,3
66,1069,1
66,551,3
67,455,5
67,45,5
68,943,5
68,53,5
69,597,4
71,802,5
71,524,3
72,105,3
72,693,1
72,984,2
72,248,1
72,1052,3
72,281,4
72,1083,5
72,539,4
72,569,4
73,1018,2
73,422,3
74,890,3
74,179,4
74,402,4
74,419,2
75,264,5
75,326,4
75,546,5
76,960,3
76,622,4
76,627,1
78,445,4
79,751,5
79,402,5
81,94,5
81,707,1
81,729,5
81,415,2
81,518,4
82,316,5
82,421,5
83,234,4
84,23,5
84,508,5
85,26,5
85,409,5
85,89,1
86,538,5
86,557,2
88,237,5
88,268,2
90,546,5
90,73,5
91,195,1
91,415,4
94,201,5
95,1104,5
96,915,2
97,469,1
98,615,5
99,191,5
100,117,5
100,943,5
100,1042,5
101,151,5
103,444,4
104,852,2
104,138,5
104,350,4
105,128,1
105,1136,5
106,216,4
106,635,4
108,770,4
108,59,5
108,71,4
109,32,3
110,220,5
112,114,4
112,978,1
112,59,1
113,73,4
114,1112,4
115,151,2
115,199,5
115,292,4
116,102,4
116,75,5
116,85,4
116,634,4
118,934,5
118,191,2
118,208,5
118,297,5
119,658,3
120,979,4
120,579,5
120,75,4
121,64,5
122,177,3
123,887,3
123,21,5
124,100,4
124,344,4
124,349,4
127,900,3
127,580,5
128,169,4
128,245,5
128,1108,5
129,133,1
129,321,4
129,574,4
130,222,5
131,812,5
132,964,5
132,483,5
133,131,2
133,998,5
133,334,5
133,575,5
135,43,5
136,525,1
137,835,1
137,503,5
138,683,5
138,74,3
140,865,5
140,1127,5
141,785,5
141,59,4
142,440,4
143,716,5
143,302,5
146,786,4
147,267,3
147,1040,4
149,733,5
149,656,5
150,944,5
150,297,5
150,318,5
151,169,5
152,59,2
154,1102,1
154,531,4
156,128,5
156,391,1
158,767,5
158,844,2
158,281,5
160,1170,5
161,161,4
161,219,3
162,161,2
163,685,2
163,177,4
163,303,5
163,482,3
164,702,4
164,305,5
164,552,5
165,393,4
166,879,2
166,11,3
166,1090,2
166,524,5
166,80,4
167,1021,5
167,432,5
167,442,4
167,61,3
167,85,5
168,245,4
168,318,1
169,760,2
169,159,2
169,621,4
175,719,4
178,687,3
178,329,5
178,1132,5
179,103,5
179,888,5
180,131,5
180,303,5
180,1115,1
180,1136,5
180,1176,4
181,703,4
182,875,5
183,158,3
183,28,5
183,645,5
184,216,1
184,405,5
185,635,5
186,697,3
186,704,3
186,725,3
186,739,2
186,8,4
186,905,2
186,182,4
186,980,4
186,990,3
186,1075,4
186,595,1
187,547,5
187,87,2
188,907,2
188,287,3
188,422,2
188,540,3
189,148,4
189,324,5
193,94,1
193,281,5
193,346,5
193,64,5
194,922,3
194,233,4
194,1047,3
194,418,3
194,500,5
194,547,4
194,549,4
195,157,5
195,74,2
196,699,5
199,85,5
199,613,2
199,660,5
201,195,5
201,1120,4
202,196,4
203,802,3
203,814,4
204,565,2
205,560,3
206,1083,3
206,1180,2
206,546,4
208,651,5
209,830,2
209,59,4
209,652,4
210,849,4
210,1021,5
210,542,3
210,662,2
211,169,4
211,21,4
211,440,5
211,1154,4
212,7,2
213,179,5
214,823,3
214,412,3
215,1122,5
215,1143,2
217,926,1
217,1018,5
218,1042,5
218,338,5
218,482,5
219,806,5
219,848,4
219,265,1
219,568,5
220,99,4
220,386,1
221,756,5
221,880,5
221,1033,5
222,504,5
225,730,4
225,861,5
225,550,5
229,432,4
232,516,5
234,779,1
235,888,1
235,83,4
237,226,5
237,634,3
239,878,1
239,44,4
240,82,5
241,721,4
241,130,5
241,761,5
241,456,3
245,104,3
246,1131,5
246,77,5
246,653,4
247,857,2
247,522,3
248,104,5
248,4,5
251,106,4
252,27,5
252,586,5
254,768,4
254,910,3
254,255,5
254,1048,3
254,29,3
254,468,2
256,965,2
256,434,3
256,603,3
257,345,3
257,85,5
258,103,5
258,876,4
258,953,2
258,1072,5
259,1026,5
259,248,4
259,259,2
259,1070,3
259,393,4
260,73,5
261,710,2
261,734,4
262,59,5
263,402,5
264,125,2
264,372,5
264,1123,5
265,848,4
265,230,4
265,481,5
265,482,4
265,586,4
265,652,4
267,548,4
267,74,1
268,421,5
270,817,5
270,819,4
270,613,1
272,230,4
272,279,2
273,130,5
273,400,5
273,418,5
276,996,1
278,816,2
281,94,4
282,723,2
282,614,4
283,318,5
283,552,3
285,318,5
286,824,3
286,269,4
286,287,5
287,282,2
287,295,4
287,416,4
287,432,3
287,53,5
287,591,5
288,254,3
288,255,5
289,1003,3
289,230,4
289,257,1
289,653,5
290,53,5
291,179,3
291,233,4
291,537,4
292,183,4
292,308,5
292,611,1
292,662,4
294,823,1
294,206,5
296,257,2
297,639,2
298,737,3
298,318,5
298,566,2
298,610,5
299,118,4
300,986,1
300,44,5
301,254,4
301,292,3
301,629,4
302,175,4
302,233,4
302,1079,4
302,388,3
302,557,3
303,679,3
304,693,2
304,613,1
304,87,4
306,1050,4
307,238,5
307,400,4
307,438,4
308,764,4
308,306,5
308,514,4
309,114,4
309,901,3
309,180,5
309,971,4
309,975,5
309,229,5
309,236,2
309,1024,5
309,249,1
309,280,4
309,1082,4
309,29,4
309,533,4
309,625,4
309,626,4
309,655,4
310,733,3
310,421,3
310,609,4
312,120,5
312,877,4
312,1042,5
312,289,1
313,102,2
313,1039,5
313,338,5
313,474,5
314,34,5
315,750,4
318,260,1
318,265,3
318,401,3
321,245,5
321,496,5
322,581,5
323,734,5
324,803,5
324,815,5
324,227,4
326,59,5
327,205,5
328,106,4
328,174,3
329,200,4
329,206,1
330,632,2
332,765,4
332,76,5
333,769,5
333,425,4
334,742,1
335,285,2
336,662,4
337,896,1
338,698,5
338,1067,5
338,312,1
340,194,2
340,196,3
340,1045,5
340,1144,5
344,493,5
344,619,3
345,811,4
345,439,4
345,35,5
347,182,3
347,231,4
347,1093,3
347,413,5
348,977,1
349,468,1
350,1153,1
351,672,1
351,1033,5
351,302,5
351,303,5
351,313,1
353,394,4
353,613,1
354,29,1
355,800,5
355,642,5
356,930,4
357,1000,4
359,328,4
359,349,4
361,172,5
361,442,5
362,616,5
362,622,5
364,871,3
364,330,3
364,1134,5
366,712,2
367,813,5
367,529,5
368,451,2
369,157,5
369,1037,2
369,515,1
369,648,5
369,658,5
370,998,4
372,546,3
373,465,4
374,301,2
374,29,5
376,16,4
376,1166,5
378,167,4
382,888,5
382,378,3
