"trustorID","trusteeID","trust"
1,85,1
1,82,1
1,160,1
1,23,1
1,41,1
1,40,1
1,60,1
1,121,1
1,73,1
1,115,1
1,99,1
1,109,1
1,78,1
1,63,1
1,156,1
1,65,1
1,87,1
1,18,1
1,50,1
1,89,1
1,159,1
1,98,1
1,103,1
1,72,1
1,75,1
1,86,1
1,74,1
1,158,1
1,153,1
1,84,1
1,67,1
1,4,1
1,45,1
1,125,1
1,29,1
1,24,1
1,106,1
1,145,1
1,48,1
1,69,1
1,51,1
1,157,1
1,154,1
1,44,1
1,71,1
1,46,1
1,155,1
1,32,1
1,70,1
1,54,1
1,146,1
1,143,1
1,56,1
1,68,1
1,49,1
26,37,1
26,304,1
26,575,1
26,307,1
26,577,1
26,88,1
26,574,1
26,572,1
26,452,1
26,132,1
26,445,1
26,16,1
26,387,1
26,207,1
26,471,1
26,53,1
26,573,1
26,25,1
26,576,1
26,42,1
26,333,1
1095,304,1
1095,973,1
1095,301,1
1095,372,1
1095,482,1
1095,825,1
1095,924,1
1095,163,1
1095,190,1
1095,42,1
86,62,1
86,23,1
86,60,1
86,90,1
86,92,1
86,104,1
86,109,1
86,287,1
86,584,1
86,87,1
86,18,1
86,800,1
86,231,1
86,159,1
86,72,1
86,17,1
86,459,1
86,112,1
86,29,1
86,310,1
86,69,1
86,222,1
86,44,1
86,785,1
86,46,1
86,102,1
86,309,1
86,54,1
86,21,1
86,582,1
86,12,1
86,227,1
86,151,1
86,116,1
86,38,1
86,333,1
86,64,1
86,85,1
86,37,1
86,342,1
86,304,1
86,82,1
86,80,1
86,335,1
86,41,1
86,281,1
86,121,1
86,8,1
86,73,1
86,118,1
86,501,1
86,434,1
86,204,1
86,217,1
86,366,1
86,161,1
86,219,1
86,78,1
86,259,1
86,22,1
86,144,1
86,103,1
86,74,1
86,392,1
86,315,1
86,125,1
86,55,1
86,106,1
86,226,1
86,58,1
86,114,1
86,357,1
86,81,1
86,688,1
86,207,1
86,412,1
86,396,1
86,328,1
86,107,1
86,766,1
86,6,1
86,49,1
86,101,1
86,99,1
86,63,1
86,30,1
86,462,1
86,89,1
86,509,1
86,98,1
86,736,1
86,182,1
86,1,1
86,67,1
86,178,1
86,24,1
86,393,1
86,48,1
86,502,1
86,241,1
86,320,1
86,157,1
86,593,1
86,152,1
86,225,1
86,155,1
86,43,1
86,464,1
86,414,1
86,188,1
86,229,1
86,32,1
86,170,1
